Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,1,100,0.2445431255202713,0.851,99.15911379657604,28.3231062404433,0.01249192979281682,0.0034060555395326003,0.14162747792860592,0.06104033024274008,nan,nan,nan,nan,nan,nan,15.005186651328415,
distributed,0,2,-1,0.22289384300244602,0.874,98.62215628090999,43.66950320537299,0.013185803005688276,0.0015030728062858114,0.11841663094562456,0.05052454936908932,1e-05,0.0,5.831464019320437e-17,2.1450528620366182e-17,0.0,0.0,15.00897570768663,
distributed,0,2,1,0.2490595601976566,0.8427,1.0,0.0,0.014174339370431539,0.006856910884805777,0.1400684160000071,0.051796077507795614,nan,nan,nan,nan,nan,nan,14.807304515562105,
distributed,0,2,2,0.23440561379224234,0.8561,1.989795918367347,0.14069079067862747,0.013181814892429047,0.005058287510778701,0.12660251516349882,0.04950348444704963,nan,nan,nan,nan,nan,nan,15.114324026254637,
distributed,0,2,3,0.23079131375265052,0.8595,2.9838709677419355,0.3049106779729928,0.013377320607535997,0.004211775652346609,0.13763331485703748,0.05084655355654429,nan,nan,nan,nan,nan,nan,14.885429905897535,
distributed,0,2,5,0.22671918010438782,0.8654,4.978779840848806,0.6362311020216047,0.013230598529599928,0.00291177849926554,0.12901846142819312,0.06636638538811027,nan,nan,nan,nan,nan,nan,14.92135363066465,
distributed,0,2,7,0.2255074552107478,0.8682,6.973333333333334,1.02851895445316,0.013462039874146322,0.002954215580819021,0.14078680245694394,0.05547566032336886,nan,nan,nan,nan,nan,nan,15.263623641478842,
distributed,0,2,10,0.22484774049150819,0.8703,9.94054054054054,1.4083250695010159,0.013272767755626646,0.002255181895639455,0.13452407586215862,0.05029749291877259,nan,nan,nan,nan,nan,nan,15.06699425134876,
distributed,0,2,20,0.2237099844402348,0.8716,19.84308510638298,3.289055027166485,0.01335314526564176,0.0015417496673391182,0.11756182344673502,0.05595355234781609,nan,nan,nan,nan,nan,nan,14.713646779184291,
distributed,0,2,30,0.22333248023419736,0.8722,29.772182254196643,5.398947358537735,0.013157580278873093,0.001205437537514857,0.13334671433810832,0.054689854506318976,nan,nan,nan,nan,nan,nan,14.812551879146138,
